Report,Idades,M,F,Total,Date
10,0-9,1,0,1,11MARÇO
10,10-19,5,7,12,11MARÇO
10,20-29,6,1,7,11MARÇO
10,30-39,8,6,14,11MARÇO
10,40-49,11,10,21,11MARÇO
10,50-59,8,1,9,11MARÇO
10,60-69,6,1,7,11MARÇO
10,70-79,2,3,5,11MARÇO
10,80+,2,0,2,11MARÇO
11,0-9,1,0,1,12MARÇO
11,10-19,5,10,15,12MARÇO
11,20-29,8,3,11,12MARÇO
11,30-39,15,9,24,12MARÇO
11,40-49,14,14,28,12MARÇO
11,50-59,12,2,14,12MARÇO
11,60-69,8,3,11,12MARÇO
11,70-79,3,3,6,12MARÇO
11,80+,2,0,2,12MARÇO
12,0-9,1,0,1,13MARÇO
12,10-19,6,13,19,13MARÇO
12,20-29,12,7,19,13MARÇO
12,30-39,20,17,37,13MARÇO
12,40-49,22,19,41,13MARÇO
12,50-59,21,5,26,13MARÇO
12,60-69,9,3,12,13MARÇO
12,70-79,7,4,11,13MARÇO
12,80+,2,1,3,13MARÇO
13,0-9,1,0,1,14MARÇO
13,10-19,8,17,25,14MARÇO
13,20-29,16,12,28,14MARÇO
13,30-39,30,25,55,14MARÇO
13,40-49,26,27,53,14MARÇO
13,50-59,27,16,43,14MARÇO
13,60-69,12,6,18,14MARÇO
13,70-79,12,5,17,14MARÇO
13,80+,2,3,5,14MARÇO
14,0-9,1,2,3,15MARÇO
14,10-19,10,17,27,15MARÇO
14,20-29,21,17,38,15MARÇO
14,30-39,35,30,65,15MARÇO
14,40-49,36,32,68,15MARÇO
14,50-59,31,21,52,15MARÇO
14,60-69,26,11,37,15MARÇO
14,70-79,18,10,28,15MARÇO
14,80+,4,8,12,15MARÇO
15,0-9,1,2,3,16MARÇO
15,10-19,13,19,32,16MARÇO
15,20-29,34,21,55,16MARÇO
15,30-39,51,37,88,16MARÇO
15,40-49,46,47,93,16MARÇO
15,50-59,41,32,73,16MARÇO
15,60-69,34,18,52,16MARÇO
15,70-79,22,13,35,16MARÇO
15,80+,5,12,17,16MARÇO
16,0-9,3,13,16,17MARÇO
16,10-19,15,21,36,17MARÇO
16,20-29,45,42,87,17MARÇO
16,30-39,62,55,117,17MARÇO
16,40-49,63,75,138,17MARÇO
16,50-59,50,42,92,17MARÇO
16,60-69,49,28,77,17MARÇO
16,70-79,32,17,49,17MARÇO
16,80+,11,19,30,17MARÇO
